"mig_exp_revcod","emp","mig_visas","democrat","republican","white","black","hispanic","unemp_cpm","edu","female","inc","age"
5,0,4,0,0,1,0,0,0,6,1,13,61
7,1,2,1,0,1,0,0,0,5,1,9,29
6,0,4,0,1,1,0,0,0,6,1,3,74
6,0,3,1,0,0,1,0,0,3,1,1,36
7,0,3,0,1,1,0,0,0,1,1,1,18
6,0,2,1,0,1,0,0,0,5,0,2,62
7,0,1,1,0,0,0,0,0,4,0,4,35
4,0,3,1,0,1,0,0,0,3,1,2,36
7,1,3,0,0,1,0,0,1,4,1,4,58
6,1,1,1,0,0,0,1,0,3,0,11,19
7,1,1,1,0,0,0,0,0,5,0,11,33
7,1,1,1,0,1,0,0,0,3,1,12,49
6,0,2,0,0,1,0,0,0,5,0,4,88
5,0,2,1,0,0,0,0,0,4,0,2,41
6,0,3,0,0,1,0,0,0,3,1,11,20
5,0,3,0,1,0,0,1,0,2,1,3,19
6,0,2,1,0,1,0,0,0,5,1,9,72
4,0,4,0,0,1,0,0,0,2,1,3,52
5,0,3,0,1,1,0,0,0,6,1,6,73
4,0,5,0,1,1,0,0,0,2,1,2,49
6,1,4,0,0,1,0,0,0,5,1,6,31
5,0,4,0,0,1,0,0,0,6,0,9,70
6,1,3,1,0,1,0,0,0,3,1,6,52
2,1,2,0,1,1,0,0,0,5,1,4,44
6,1,1,1,0,1,0,0,0,5,0,5,70
7,0,2,0,1,1,0,0,0,1,0,2,37
6,0,3,0,0,1,0,0,0,3,1,3,70
3,1,2,1,0,0,1,0,0,5,1,7,38
5,0,2,0,0,1,0,0,0,3,1,4,67
4,0,3,0,0,0,0,1,1,2,1,1,34
6,1,1,0,0,1,0,0,0,6,0,13,42
4,0,2,0,0,0,0,0,0,5,1,9,28
5,0,3,0,0,1,0,0,0,5,0,1,33
4,0,2,0,0,1,0,0,0,4,1,4,70
4,1,3,1,0,1,0,0,0,3,1,9,39
7,1,3,1,0,1,0,0,0,4,1,1,50
3,0,5,0,0,1,0,0,0,2,1,3,20
6,1,2,1,0,1,0,0,0,3,1,4,59
3,0,2,0,1,0,0,0,0,2,1,7,28
5,0,2,0,0,1,0,0,0,5,1,6,58
7,0,1,1,0,1,0,0,0,6,0,8,68
4,1,3,0,1,1,0,0,0,3,1,4,30
2,0,4,0,1,1,0,0,0,2,1,5,58
6,1,3,1,0,0,0,0,0,5,0,8,46
7,0,4,0,0,1,0,0,0,6,1,13,67
6,1,3,0,0,1,0,0,1,6,0,9,49
1,0,3,0,0,1,0,0,0,4,0,2,71
7,1,1,0,0,1,0,0,0,3,0,9,22
4,0,4,0,1,1,0,0,0,6,0,12,73
4,0,5,0,1,0,0,0,0,5,1,11,45
2,1,5,0,1,0,1,0,0,5,1,12,48
7,1,1,1,0,1,0,0,0,3,1,5,61
6,1,1,1,0,1,0,0,0,5,1,11,43
1,0,5,0,1,1,0,0,0,3,1,1,41
4,1,3,0,0,1,0,0,0,2,1,3,25
7,1,1,1,0,0,1,0,1,3,1,3,26
3,0,2,0,1,1,0,0,0,6,1,8,63
7,0,5,1,0,1,0,0,0,2,0,2,52
7,1,2,0,1,1,0,0,0,6,1,8,65
1,0,4,0,1,1,0,0,0,4,1,2,60
4,0,5,0,0,0,1,0,0,4,1,3,44
4,1,3,0,1,0,1,0,0,5,1,8,38
7,0,1,1,0,0,0,1,0,3,1,6,60
